Accession	Region	Sub_population
WBDC_001	Fertile Crescent	SP5
WBDC_002	Fertile Crescent	SP5
WBDC_004	Fertile Crescent	SP5
WBDC_005	Fertile Crescent	SP1
WBDC_006	Fertile Crescent	SP1
WBDC_007	Fertile Crescent	SP1
WBDC_008	Fertile Crescent	SP5
WBDC_009	Fertile Crescent	SP5
WBDC_010	South Asia	SP4
WBDC_011	Fertile Crescent	SPN
WBDC_012	South Asia	SP6
WBDC_013	Fertile Crescent	SPN
WBDC_014	South Asia	SP6
WBDC_015	South Asia	SP6
WBDC_016	Fertile Crescent	SP2
WBDC_017	Fertile Crescent	SP5
WBDC_018	South Asia	SP6
WBDC_019	Fertile Crescent	SP7
WBDC_020	Fertile Crescent	SPN
WBDC_021	Fertile Crescent	SP7
WBDC_022	Fertile Crescent	SP7
WBDC_023	Fertile Crescent	SP4
WBDC_024	Fertile Crescent	SP2
WBDC_025	South Asia	SP6
WBDC_026	Central Asia	SP6
WBDC_027	Caucasus Region	SP2
WBDC_028	Fertile Crescent	SP7
WBDC_029	Fertile Crescent	SP7
WBDC_030	Fertile Crescent	SP7
WBDC_031	Fertile Crescent	SP2
WBDC_032	Fertile Crescent	SP7
WBDC_033	Fertile Crescent	SP7
WBDC_034	Fertile Crescent	SP7
WBDC_035	Fertile Crescent	SP7
WBDC_036	South Asia	SP6
WBDC_037	Fertile Crescent	SP7
WBDC_038	Fertile Crescent	SP7
WBDC_039	Fertile Crescent	SP1
WBDC_040	Fertile Crescent	SP7
WBDC_041	Fertile Crescent	SP7
WBDC_042	Fertile Crescent	SP7
WBDC_043	Fertile Crescent	SP7
WBDC_044	Fertile Crescent	SP7
WBDC_045	Fertile Crescent	SP1
WBDC_046	Fertile Crescent	SP1
WBDC_047	Fertile Crescent	SP1
WBDC_048	Fertile Crescent	SP1
WBDC_049	Fertile Crescent	SPN
WBDC_050	Fertile Crescent	SP4
WBDC_051	Fertile Crescent	SP4
WBDC_052	Fertile Crescent	SPN
WBDC_053	South Asia	SPN
WBDC_054	Fertile Crescent	SP2
WBDC_055	Fertile Crescent	SP5
WBDC_056	Fertile Crescent	SP4
WBDC_057	Fertile Crescent	SPN
WBDC_058	Fertile Crescent	SP7
WBDC_059	Fertile Crescent	Missing
WBDC_060	Fertile Crescent	SP7
WBDC_061	Fertile Crescent	SP5
WBDC_062	Fertile Crescent	SP5
WBDC_063	Fertile Crescent	SP5
WBDC_064	Fertile Crescent	SP5
WBDC_065	Fertile Crescent	SP6
WBDC_066	Fertile Crescent	SP2
WBDC_067	Fertile Crescent	SP2
WBDC_068	Fertile Crescent	SPN
WBDC_069	Fertile Crescent	SP3
WBDC_070	Fertile Crescent	SP3
WBDC_072	North Africa	SP7
WBDC_073	North Africa	SP7
WBDC_074	North Africa	SP7
WBDC_075	North Africa	SP7
WBDC_078	Fertile Crescent	SP4
WBDC_079	Fertile Crescent	SP2
WBDC_080	Fertile Crescent	SPN
WBDC_081	Fertile Crescent	SP5
WBDC_082	Fertile Crescent	SP7
WBDC_083	Fertile Crescent	SP2
WBDC_085	Fertile Crescent	SP6
WBDC_089	Fertile Crescent	SP7
WBDC_092	Fertile Crescent	SP4
WBDC_093	Fertile Crescent	SPN
WBDC_094	Fertile Crescent	SP2
WBDC_095	Fertile Crescent	SPN
WBDC_097	Fertile Crescent	SP1
WBDC_100	Fertile Crescent	SP2
WBDC_101	Fertile Crescent	SP2
WBDC_102	Fertile Crescent	SP2
WBDC_103	Fertile Crescent	SP2
WBDC_104	Fertile Crescent	SP2
WBDC_105	Fertile Crescent	SP5
WBDC_106	Fertile Crescent	SP5
WBDC_107	Fertile Crescent	SP5
WBDC_108	Fertile Crescent	SP2
WBDC_109	Fertile Crescent	SP1
WBDC_110	Fertile Crescent	SPN
WBDC_111	Fertile Crescent	SP2
WBDC_112	Fertile Crescent	SP1
WBDC_113	Central Asia	SP2
WBDC_115	Central Asia	SP2
WBDC_116	Central Asia	SP2
WBDC_117	Central Asia	SP6
WBDC_119	Central Asia	SP6
WBDC_120	Central Asia	SP6
WBDC_121	Fertile Crescent	SP2
WBDC_122	Fertile Crescent	SPN
WBDC_123	Fertile Crescent	SP6
WBDC_124	Fertile Crescent	SP4
WBDC_125	Central Asia	SP6
WBDC_126	Fertile Crescent	SP7
WBDC_127	Fertile Crescent	SP1
WBDC_128	Fertile Crescent	SP3
WBDC_129	Fertile Crescent	SP1
WBDC_130	Fertile Crescent	SP1
WBDC_131	Fertile Crescent	Missing
WBDC_132	Fertile Crescent	SPN
WBDC_133	Fertile Crescent	SP3
WBDC_134	Fertile Crescent	SP3
WBDC_135	Fertile Crescent	SPN
WBDC_136	Fertile Crescent	SP3
WBDC_137	Fertile Crescent	SP7
WBDC_138	Fertile Crescent	SP3
WBDC_139	Fertile Crescent	SP1
WBDC_140	Fertile Crescent	SP3
WBDC_141	Fertile Crescent	SP3
WBDC_142	Fertile Crescent	SP5
WBDC_143	Fertile Crescent	SP3
WBDC_145	Fertile Crescent	SP5
WBDC_146	Fertile Crescent	SP4
WBDC_147	Fertile Crescent	SP4
WBDC_148	Fertile Crescent	SP4
WBDC_149	Fertile Crescent	SP4
WBDC_150	Fertile Crescent	SPN
